"campaignid","sample","family","genus","species"
"2019-08_Ningaloo_stereo-BRUVs",4.01,"Nemipteridae","Parascolopsis","inermis"
"2019-08_Ningaloo_stereo-BRUVs",4.08,"Nemipteridae","Parascolopsis","inermis"
"2019-08_Ningaloo_stereo-BRUVs",6.01,"Microdesmidae","Ptereleotris","sp2"
"2019-08_Ningaloo_stereo-BRUVs",7.02,"Veliferidae","Velifer","hypselopterus"
"2019-08_Ningaloo_stereo-BRUVs",8.05,"Veliferidae","Velifer","hypselopterus"
"2019-08_Ningaloo_stereo-BRUVs",8.07,"Veliferidae","Velifer","hypselopterus"
"2019-08_Ningaloo_stereo-BRUVs",9.02,"Nemipteridae","Parascolopsis","inermis"
"2019-08_Ningaloo_stereo-BRUVs",9.05,"Nemipteridae","Parascolopsis","inermis"
"2019-08_Ningaloo_stereo-BRUVs",10.13,"Labridae","Unknown","sp7"
"2019-08_Ningaloo_stereo-BRUVs",11.03,"Labridae","Unknown","sp7"
"2019-08_Ningaloo_stereo-BRUVs",11.06,"Labridae","Unknown","sp8"
"2019-08_Ningaloo_stereo-BRUVs",18.07,"Labridae","Unknown","sp8"
"2019-08_Ningaloo_stereo-BRUVs",31.02,"Carcharhinidae","Prionace","glauca"
"2019-08_Ningaloo_stereo-BRUVs",4.03,"Muraenidae","Gymnothorax","sp4"
"2019-08_Ningaloo_stereo-BRUVs",8.02,"Scaridae","Scarus","sp3"
"2019-08_Ningaloo_stereo-BRUVs",10.12,"Muraenidae","Gymnothorax","sp5"
"2019-08_Ningaloo_stereo-BRUVs",12.11,"Nemipteridae","Parascolopsis","inermis"
"2019-08_Ningaloo_stereo-BRUVs",18.04,"Muraenidae","Gymnothorax","prionodon"
"2019-08_Ningaloo_stereo-BRUVs",18.04,"Muraenidae","Gymnothorax","sp3"
"2019-08_Ningaloo_stereo-BRUVs",31.06,"Muraenidae","Uropterygius","concolor"
