"","modname","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","sqrt.slope","cube.Aspect","log.roughness","FlowDir","distance.to.ramp","reef","mean.relief","sd.relief","status","cumsum.wi"
"sqrt.slope.by.status+status","sqrt.slope.by.status+status",503.148620956997,525.2508799824,0.28233,NA,7.59,1,0,0.869,0.134,0.172,1,0,0,0,0,0,0,0,1,0.134
"log.roughness.by.status+status","log.roughness.by.status+status",503.240978442917,524.38140004088,0.28397,NA,7.56,2,0.092,0,0.128,0.266,0,0,1,0,0,0,0,0,1,0.262
"FlowDir+sqrt.slope.by.status+status","FlowDir+sqrt.slope.by.status+status",504.243908091429,530.444891937252,0.30166,NA,9.18,2,1.095,6.063,0.077,0.013,1,0,0,1,0,0,0,0,1,0.339
"cube.Aspect+reef.by.status+status","cube.Aspect+reef.by.status+status",504.300567344529,532.401335689335,0.29228,NA,8.64,0,1.152,8.02,0.075,0.005,0,1,0,0,0,1,0,0,1,0.414
"FlowDir+log.roughness.by.status+status","FlowDir+log.roughness.by.status+status",504.350317804872,530.303407424861,0.30173,NA,9.23,2,1.202,5.922,0.073,0.014,0,0,1,1,0,0,0,0,1,0.487
"distance.to.ramp+reef","distance.to.ramp+reef",505.088123138752,525.959118853777,0.22931,NA,6.59,1,1.94,1.578,0.051,0.121,0,0,0,0,1,1,0,0,0,0.538
"cube.Aspect+distance.to.ramp+sd.relief","cube.Aspect+distance.to.ramp+sd.relief",505.088534453356,530.82152987925,0.23945,NA,7.77,0,1.94,6.44,0.051,0.011,0,1,0,0,1,0,0,1,0,0.589
"distance.to.ramp+FlowDir+reef","distance.to.ramp+FlowDir+reef",505.095245891038,530.614235815323,0.24501,NA,8.27,1,1.947,6.233,0.051,0.012,0,0,0,1,1,1,0,0,0,0.64
"log.roughness+sd.relief+status","log.roughness+sd.relief+status",505.719100269405,525.300454331753,0.18542,NA,6.86,2,2.57,0.919,0.037,0.168,0,0,1,0,0,0,0,1,1,0.677
"cube.Aspect+reef+status","cube.Aspect+reef+status",505.798921190234,531.14459686125,0.26353,NA,7.43,0,2.65,6.763,0.036,0.009,0,1,0,0,0,1,0,0,1,0.713
