"","modname","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","sqrt.slope","cube.Aspect","log.roughness","FlowDir","distance.to.ramp","status","cumsum.wi"
"status","status",511.537011910998,531.563260716151,0.21046,NA,6,1,0,0,0.275,0.903,0,0,0,0,0,1,0.275
"cube.Aspect+status","cube.Aspect+status",511.915966906465,537.65456837992,0.23679,NA,7.62,1,0.379,6.091,0.227,0.043,0,1,0,0,0,1,0.502
"FlowDir+status","FlowDir+status",512.678607002358,538.358115624562,0.23165,NA,7.7,1,1.142,6.795,0.155,0.03,0,0,0,1,0,1,0.657
"FlowDir.by.status+status","FlowDir.by.status+status",514.247904995833,541.808345204138,0.23749,NA,8.71,1,2.711,10.245,0.071,0.005,0,0,0,1,0,1,0.728
"cube.Aspect.by.status+status","cube.Aspect.by.status+status",514.972076823122,543.129404611244,0.23534,NA,8.46,1,3.435,11.566,0.049,0.003,0,1,0,0,0,1,0.777
"distance.to.ramp+log.roughness","distance.to.ramp+log.roughness",514.982709876844,544.167567105756,0.17955,NA,8.68,0,3.446,12.604,0.049,0.002,0,0,1,0,1,0,0.826
"distance.to.ramp+sqrt.slope","distance.to.ramp+sqrt.slope",515.21309710504,543.759912776692,0.17981,NA,8.67,1,3.676,12.197,0.044,0.002,1,0,0,0,1,0,0.87
"distance.to.ramp","distance.to.ramp",515.469948479988,540.628289663817,0.17449,NA,6.88,0,3.933,9.065,0.038,0.01,0,0,0,0,1,0,0.908
"distance.to.ramp+FlowDir+log.roughness","distance.to.ramp+FlowDir+log.roughness",516.170449813555,549.211335715754,0.18987,NA,10.25,0,4.633,17.648,0.027,0,0,0,1,1,1,0,0.935
"cube.Aspect+distance.to.ramp","cube.Aspect+distance.to.ramp",516.200125191494,545.707651909746,0.18971,NA,8.51,0,4.663,14.144,0.027,0.001,0,1,0,0,1,0,0.962
