"","bathy.mean"
"1",NA
"2",9.5
"3",11.575
"4",12.175
"5",8.625
"6",8.85
"7",11.075
"8",13.9
"9",10.55
"10",14.475
"11",10.4
"12",10.55
"13",10.65
"14",12.425
"15",11.775
"16",8.725
"17",11.625
"18",9.925
"19",9.2
"20",10.275
"21",6.75
"22",6.55
"23",14.85
"24",8.55
"25",8.9
"26",10.925
"27",9
"28",8.175
"29",8.425
"30",9.25
"31",9.775
"32",9.15
"33",10.675
"34",9.15
"35",8.425
"36",10.15
"37",16.05
"38",9.2
"39",12.95
"40",10.75
"41",8.1
"42",9.575
"43",8.9
"44",10.275
"45",9.5
"46",10.175
"47",6.625
"48",10.725
"49",5.425
"50",9.575
"51",8.725
"52",10.325
"53",10.8
"54",12.1
"55",9.4
"56",7.975
"57",8.475
"58",10.6
"59",7.975
"60",8.775
"61",9.925
"62",15.7
"63",15.05
"64",8.375
"65",11.6
"66",6.95
"67",7.825
"68",7.675
"69",5.375
"70",7.15
"71",8.65
"72",11.85
"73",12.05
"74",5.875
"75",9.3
"76",8.25
"77",10.275
"78",9.575
"79",16.4
"80",15.725
"81",7.05
"82",8.2
"83",7.4
"84",15.4
"85",10.375
"86",10.925
"87",8.3
"88",7.8
"89",5.725
"90",9.9
"91",11.875
"92",10.1
"93",8.55
"94",12.8
"95",9.925
"96",7.35
"97",10.15
"98",10.075
"99",10.6
"100",10.6
"101",7.6
"102",11.075
"103",14.725
"104",6.325
"105",11.4
"106",9.35
"107",10.525
"108",7.525
"109",9.025
"110",13.525
"111",10.225
"112",10.3
"113",10.65
"114",12.6
"115",11.025
"116",11.75
"117",10.175
"118",9.6
"119",9.625
"120",8
"121",12.325
"122",8.8
"123",10.325
"124",11.4
"125",12.825
"126",11.3
"127",10.775
"128",10.625
"129",8.3
"130",10.775
"131",11.75
"132",11.5
"133",9.95
"134",6.475
"135",9.025
"136",8.475
"137",7.9
"138",11.125
"139",7.575
"140",13.15
"141",10.925
"142",8.075
"143",16.6
"144",9.075
"145",8.675
"146",10.025
"147",8.5
"148",4.825
"149",12.45
"150",14.5
"151",13.175
"152",10.75
"153",6.3
"154",9.375
"155",5.45
"156",8.025
"157",8.975
"158",8.925
"159",12.075
"160",6.7
"161",12
"162",11.3
"163",13.6
"164",11.9
"165",12.075
"166",11.475
"167",12.1
"168",7.525
"169",12.35
"170",9.4
"171",9.675
"172",9.05
"173",8.45
"174",10.9
"175",8.9
"176",8.575
"177",9.35
"178",9.1
"179",7.575
"180",19.675
"181",10.575
"182",8.75
"183",10.025
"184",11.95
"185",3.65
"186",9
"187",12.825
"188",9.725
"189",7.35
"190",10.325
"191",7
"192",9.275
"193",12.775
"194",8.55
"195",9.525
"196",13.475
"197",9.45
"198",9.35
"199",9.6
"200",11.475
"201",7.4
"202",12.4
"203",16.025
"204",9.7
"205",10.125
"206",13.975
"207",9.775
"208",11.875
"209",10.05
"210",11.8
"211",9.275
"212",8.25
"213",9.65
"214",7.275
"215",5.45
"216",7.625
"217",12.275
"218",10.3
"219",18.1
"220",7.375
"221",13.15
"222",7.625
"223",10.1
"224",6.725
"225",10.875
"226",9
"227",8
"228",7.925
"229",9.075
"230",10
"231",11.2
"232",13.125
"233",14.225
"234",10.3
"235",9.825
"236",15.25
"237",10.525
"238",9.25
"239",7.975
"240",9.625
"241",9.4
"242",7.575
"243",9
"244",11.2
"245",11
"246",10.25
"247",9.575
"248",7.625
"249",8.525
"250",13.7
"251",10.25
"252",9.625
"253",10.925
"254",11.075
"255",9.2
"256",12.975
"257",8.875
"258",8.225
"259",12.525
"260",10.5
"261",11.175
"262",12.725
"263",14.125
"264",9.825
"265",6.3
"266",5.8
"267",8.825
"268",8.55
"269",11.65
"270",8.025
"271",13.3
"272",10.8
"273",8.8
"274",9.7
"275",9.775
"276",11.425
"277",8
"278",11.5
"279",8.475
"280",11.675
"281",11.6
"282",11.725
"283",9.775
"284",9.375
"285",11.15
"286",11.225
"287",7.45
"288",10.125
"289",7.4
"290",9.825
"291",9.575
"292",15.125
"293",8.05
"294",9
"295",7.55
"296",11.1
"297",6.7
"298",7.725
"299",9.325
"300",9.975
"301",10.45
"302",11.525
"303",10.6
"304",10.75
"305",9.325
"306",8.9
"307",8.525
"308",8.925
"309",11.85
"310",10.175
"311",8.275
"312",10.675
"313",11.15
"314",13.825
"315",9.8
"316",9.925
"317",10.725
"318",10.025
"319",11.4
"320",5.6
"321",12.7
"322",7.25
"323",17.725
"324",6.525
"325",17.075
"326",13.175
"327",13.425
"328",9.6
"329",14.625
"330",7.975
"331",8.025
"332",11.925
"333",14.875
"334",15.65
"335",6.25
"336",13.325
"337",7.9
"338",6.25
"339",9.925
"340",7.05
"341",6.75
"342",6.4
"343",12.725
"344",6.025
"345",11.225
"346",8.8
"347",11.325
"348",5.875
"349",14.375
"350",12.575
"351",10.75
"352",9.725
"353",9.525
"354",11.375
"355",8.8
"356",8.075
"357",6.75
"358",12.7
"359",10.175
"360",9.475
"361",10.725
"362",11.15
"363",11.25
"364",11.175
"365",12.175
"366",5.8
"367",13.3
"368",11.225
"369",8.65
"370",6.4
"371",10.775
"372",7.075
"373",9.35
"374",8.375
"375",10.65
"376",11.1
"377",7.3
"378",7.8
"379",14.275
"380",9.5
"381",9.075
"382",10.975
"383",8.45
"384",9.55
"385",8.525
"386",8.575
"387",9.625
"388",9.725
"389",12.775
"390",9.3
"391",9.225
"392",6.525
"393",8.8
"394",6.475
"395",12.75
"396",12.05
"397",9.5
"398",10.775
"399",9.9
"400",11.35
"401",9.6
"402",11.05
"403",7.575
"404",10.875
"405",14.4
"406",7.55
"407",11.2
"408",8.45
"409",12.525
"410",8.225
"411",9.5
"412",10.525
"413",9.75
"414",9.7
"415",14.85
"416",10.475
"417",9.275
"418",11.65
"419",7.35
"420",8.075
"421",12.875
"422",10.375
"423",7.75
"424",9.7
"425",10.525
"426",11.8
"427",9.425
"428",7.95
"429",10.175
"430",8.575
"431",9.9
"432",9.7
"433",8.4
"434",9.55
"435",11.775
"436",9.275
"437",8.7
"438",9.3
"439",9
"440",12.65
"441",12.125
"442",11.825
"443",7.85
"444",14.5
"445",7.075
"446",9.825
"447",7.775
"448",10.225
"449",8.925
"450",10.175
"451",7.3
"452",6.975
"453",8.55
"454",7.425
"455",7.75
"456",8.425
"457",10.775
"458",7.275
"459",10.625
"460",7.925
"461",8
"462",9.925
"463",6.625
"464",5.6
"465",8.725
"466",12.725
"467",11.35
"468",6.6
"469",10.1
"470",12.225
"471",9.5
"472",10.725
"473",12.6
"474",8.025
"475",11.975
"476",9
"477",11.35
"478",10.15
"479",9.525
"480",10.8
"481",6.75
"482",5.95
"483",10.425
"484",8.125
"485",10.625
"486",9
"487",9.2
"488",8.3
"489",8.825
"490",8.1
"491",11.5
"492",7.875
"493",7.825
"494",11.375
"495",8.15
"496",9.15
"497",8.25
"498",9.875
"499",9.175
"500",8.275
"501",9.675
"502",10.525
"503",7.4
"504",9.25
"505",9.775
"506",11.025
"507",12.775
"508",10.875
"509",6.45
"510",10.125
"511",9.7
"512",5.375
"513",5.775
"514",8.975
"515",9.225
"516",8.525
"517",11.55
"518",11.225
"519",8.775
"520",9.3
"521",9.35
"522",12.775
"523",6.225
"524",8.95
"525",9.15
"526",9.2
"527",9
"528",9.2
"529",7.525
"530",10.75
"531",8.1
"532",11.4
"533",7.3
"534",9.125
"535",14.85
"536",9.675
"537",10.95
"538",7.375
"539",9.4
"540",9.875
"541",7.85
"542",7.525
"543",9.8
"544",10.975
"545",9.325
"546",9.325
"547",12.8
"548",9.05
"549",11.85
"550",10.375
"551",14.25
"552",11.925
"553",8.45
"554",8.725
"555",9.925
"556",7.2
"557",6.25
"558",8.125
"559",10.775
"560",8.5
"561",6.85
"562",12.525
"563",9
"564",11.1
"565",11.325
"566",10.1
"567",9.275
"568",14.15
"569",8.05
"570",11.575
"571",13.825
"572",12.5
"573",6.85
"574",5
"575",12.475
"576",10.2
"577",10.9
"578",12.325
"579",15.625
"580",10.425
"581",8.95
"582",13.45
"583",10.9
"584",8
"585",7.7
"586",11.675
"587",10.15
"588",9.525
"589",10.025
"590",8.75
"591",8
"592",9.2
"593",11.2
"594",11.4
"595",11.275
"596",8.175
"597",10.15
"598",10
"599",10.825
"600",11.85
"601",13.75
"602",14.725
"603",10.75
"604",10.1
"605",11.1
"606",12.05
"607",11.7
"608",6.575
"609",14.125
"610",8.3
"611",9.45
"612",8.35
"613",11.25
"614",9.2
"615",9.725
"616",10.725
"617",9.9
"618",12.05
"619",9.85
"620",10.875
"621",9.625
"622",7.575
"623",8.15
"624",9.8
"625",8.45
"626",10.225
"627",10.175
"628",10.3
"629",9.2
"630",11.6
"631",12.075
"632",8.35
"633",13.4
"634",9.225
"635",10.95
"636",10.85
"637",10.8
"638",9.175
"639",8.075
"640",11.125
"641",8.55
"642",12.8
"643",12.95
"644",8.175
"645",9.35
"646",8.25
"647",10.75
"648",10.15
"649",8.025
"650",9.3
"651",9.675
"652",11.05
"653",12.3
"654",11.575
"655",10.5
"656",6.825
"657",10.05
"658",9.825
"659",8.6
"660",8.975
"661",7.5
"662",12.875
"663",9.575
"664",10.125
"665",11.15
"666",13.15
"667",10.3
"668",10.75
"669",12.7
"670",12.625
"671",10.85
"672",7.6
"673",7.725
"674",9.15
"675",14.075
"676",6.75
"677",11.15
"678",11.525
"679",9.875
"680",10.2
"681",10.55
"682",9.525
"683",7.575
"684",10.8
"685",9.625
"686",8.7
"687",10.225
"688",9.5
"689",5.975
"690",8.425
"691",7.3
"692",6.85
"693",8.75
"694",11.175
"695",9.05
"696",13.7
"697",8.625
"698",8.85
"699",7.85
"700",9.5
"701",14.35
"702",4.35
"703",9.875
"704",9.625
"705",9.325
"706",6.55
"707",9.5
"708",8.325
"709",11.35
"710",9.15
"711",10.375
"712",13.2
"713",11.7
"714",10.475
"715",10.725
"716",9.375
"717",7.75
"718",11.95
"719",12.025
"720",10.075
"721",8.5
"722",7.95
"723",10.875
"724",10.175
"725",10.275
"726",10.65
"727",9.25
"728",14.725
"729",6.875
"730",10
"731",11.55
"732",13.125
"733",8.625
"734",9.9
"735",6.9
"736",10.7
"737",6.925
"738",7.85
"739",5.25
"740",10.4
"741",10.475
"742",7.425
"743",9.6
"744",11.475
"745",13.075
"746",10.975
"747",8.075
"748",15.225
"749",9.425
"750",10.9
"751",10.025
"752",9.35
"753",8.625
"754",7.6
"755",11.225
"756",8.5
"757",8.175
"758",5.625
"759",8.975
"760",8.65
"761",10.475
"762",8.925
"763",12.75
"764",10.325
"765",18
"766",12.125
"767",7.55
"768",8.85
"769",11.2
"770",7.45
"771",11
"772",10.15
"773",10
"774",9.25
"775",13.525
"776",7.925
"777",9.85
"778",12.075
"779",9.25
"780",7.9
"781",8.7
"782",8.05
"783",10.7
"784",10.125
"785",11.125
"786",9.725
"787",9.875
"788",10.975
"789",10.325
"790",7.775
"791",9.975
"792",10.1
"793",8.35
"794",10.325
"795",11.475
"796",16.9
"797",9.8
"798",9
"799",8.525
"800",9.475
"801",10.525
"802",18.2
"803",7.625
"804",10.95
"805",11.55
"806",10.75
"807",12.525
"808",9
"809",11.125
"810",8.45
"811",11.725
"812",9.025
"813",10.95
"814",9.175
"815",9.8
"816",8.525
"817",10.3
"818",16.225
"819",9.3
"820",10.125
"821",10.55
"822",7.475
"823",8.2
"824",8.9
"825",9.475
"826",7.725
"827",9.25
"828",11.425
"829",10.3
"830",11.05
"831",10.025
"832",7.05
"833",11.125
"834",8.825
"835",8.1
"836",21.1
"837",8.8
"838",13.75
"839",7.125
"840",13.375
"841",8.35
"842",11.425
"843",9.675
"844",13.55
"845",10.95
"846",9.9
"847",11.3
"848",11.85
"849",7.3
"850",9.125
"851",10.025
"852",7.375
"853",11.55
"854",9.075
"855",9.15
"856",10.125
"857",12.4
"858",11.35
"859",8.775
"860",11.25
"861",10.975
"862",12.125
"863",11.7
"864",8.75
"865",8.825
"866",8.825
"867",8.525
"868",12.225
"869",7.8
"870",9.525
"871",12.325
"872",13
"873",10.825
"874",8.225
"875",13.075
"876",9.475
"877",12.8
"878",8.8
"879",8.125
"880",9.45
"881",8.65
"882",13.35
"883",14.45
"884",5.35
"885",16.025
"886",8.5
"887",10.425
"888",9.85
"889",10.5
"890",12.4
"891",7.75
"892",10.425
"893",9.25
"894",11.55
"895",15.825
"896",9.725
"897",9.425
"898",8.075
"899",11.775
"900",15.3
"901",9.175
"902",9.65
"903",7.675
"904",10.55
"905",7.875
"906",13.1
"907",9.325
"908",8.625
"909",8.775
"910",11.75
"911",7.625
"912",9.325
"913",8.25
"914",9.55
"915",11.525
"916",10.325
"917",15.1
"918",7.425
"919",12.275
"920",10.1
"921",9.475
"922",9.05
"923",10.65
"924",13.575
"925",10.8
"926",10.6
"927",9.7
"928",8.075
"929",14.35
"930",8.2
"931",10.35
"932",8.75
"933",9.375
"934",11.325
"935",9.075
"936",11.725
"937",6.85
"938",10.175
"939",11.225
"940",7
"941",7.725
"942",11.375
"943",9.35
"944",9.125
"945",12.375
"946",12.025
"947",7.05
"948",11.025
"949",11.875
"950",13
"951",10.2
"952",10.075
"953",7.625
"954",9.1
"955",11.4
"956",6.425
"957",15.225
"958",9.05
"959",10.025
"960",8.75
"961",10.15
"962",8.05
"963",7.3
"964",11.025
"965",10.275
"966",7.45
"967",7.25
"968",10.675
"969",11.4
"970",8.425
"971",10.8
"972",10
"973",10.275
"974",7.65
"975",9.275
"976",8.325
"977",12.225
"978",8.15
"979",7.1
"980",9.4
"981",13.15
"982",9.725
"983",9.725
"984",9.925
"985",9.075
"986",9.325
"987",9.425
"988",8
"989",7.225
"990",12.025
"991",11.1
"992",6.275
"993",10.3
"994",9.475
"995",13.55
"996",9.75
"997",10.3
"998",10.5
"999",9.975
"1000",13.1
"1001",11.65
"1002",11.425
"1003",10.7
