"","sample","Distance.to.ramp"
"1",1.01,41.3334073950048
"2",1.02,42.0182997483818
"3",1.03,43.2809528904714
"4",1.04,43.32185221552
"5",1.05,44.015119651945
"6",1.06,43.8194930186545
"7",2.02,41.6687915187281
"8",2.03,41.7433847679641
"9",2.04,41.4300376110703
"10",2.05,41.8245046638938
"11",2.06,42.1772014490365
"12",2.07,42.7970438863228
"13",3.01,45.6631648403145
"14",3.02,45.6364342398376
"15",3.03,45.525620103805
"16",3.04,46.3977130326217
"17",3.05,46.642926997787
"18",3.06,47.0299964415854
"19",4.01,47.7764631033133
"20",4.02,48.3760234872089
"21",4.03,48.9573861689233
"22",4.08,49.4402101224174
"23",4.11,49.7878807626948
"24",4.12,50.077558809482
"25",5.02,47.1698603437685
"26",5.03,46.4433926617986
"27",5.07,46.9936555994827
"28",5.08,47.5041192171763
"29",5.11,48.007606018651
"30",5.13,47.7577461068917
"31",6.01,48.8757137429114
"32",6.02,49.289554542639
"33",6.03,49.8984399671402
"34",6.04,50.5467826889796
"35",6.05,51.5503604752865
"36",6.12,52.5718883333832
"37",7.01,51.8034797254707
"38",7.02,51.9550055729667
"39",7.03,52.5376280664911
"40",7.04,51.9641561360898
"41",7.05,51.4350519331365
"42",7.08,51.1528635497271
"43",8.01,54.0355860772316
"44",8.02,54.7865743272019
"45",8.05,53.9764057440076
"46",8.06,54.4889457798662
"47",8.07,54.7056267685077
"48",8.12,55.4879843932186
"49",9.01,55.7627316984965
"50",9.02,56.2934760547567
"51",9.05,57.2455845891095
"52",9.06,56.7713124182219
"53",9.07,55.2855940600126
"54",9.08,55.7040333689069
"55",10.01,57.5281194015765
"56",10.02,57.788842307373
"57",10.03,58.0235536001664
"58",10.04,58.6253853098269
"59",10.07,58.4591584963071
"60",10.08,58.8082573924135
"61",10.09,62.2639399885972
"62",10.11,63.319478355129
"63",10.12,65.1434458329396
"64",10.13,60.6779065409614
"65",10.14,61.7659750853767
"66",10.15,63.6335160373631
"67",11.01,69.9885359781338
"68",11.02,70.3416789420789
"69",11.03,70.586973892771
"70",11.04,71.201822099401
"71",11.05,71.452152459326
"72",11.06,71.5211692800167
"73",12.02,69.0796275785287
"74",12.03,69.5170919604175
"75",12.04,69.086678994233
"76",12.05,69.8011399831866
"77",12.06,69.7476646909391
"78",12.11,72.3165920886659
"79",13.02,61.3692748558438
"80",13.03,61.1079648458433
"81",13.04,61.1678479647113
"82",13.05,61.6796918229984
"83",13.06,62.1082113137036
"84",13.08,60.4178072142388
"85",14.01,52.7944830646008
"86",14.02,50.2058111736686
"87",14.03,47.1567183888406
"88",14.06,35.2996022379583
"89",14.11,52.2793805633904
"90",14.12,49.9419109729879
"91",14.13,48.1792567491626
"92",15.01,34.7880945143335
"93",15.02,34.2124909180332
"94",15.05,34.1979418832323
"95",15.07,31.4335241208472
"96",15.12,32.1945693520388
"97",16.01,29.5567134539659
"98",16.02,29.6751498673587
"99",16.03,28.5494454154175
"100",16.04,27.0029947225823
"101",16.05,24.8373931285373
"102",17.08,25.9990742481493
"103",18.01,24.427538572728
"104",18.02,24.1008935223872
"105",18.03,24.4163129279232
"106",18.04,23.93872505944
"107",18.07,22.7411512831246
"108",18.08,23.8987601523413
"109",19.01,19.5455886852004
"110",19.02,19.3158429817257
"111",19.03,18.2298869881514
"112",19.04,18.5253301567858
"113",19.05,18.0384454427223
"114",19.08,18.3495438104007
"115",23.01,20.5393082343694
"116",23.02,20.9004670028951
"117",23.03,21.0595185257315
"118",23.04,21.1234599949028
"119",23.06,21.1191480717693
"120",23.09,19.1937932376014
"121",30.01,7.64281737374975
"122",30.02,7.35031565941167
"123",30.03,7.09127824965563
"124",30.04,6.87938786256802
"125",30.05,6.70563363588821
"126",30.06,6.59747106467044
"127",31.01,20.1252858674498
"128",31.02,19.6727616962993
"129",31.03,19.5033780954959
"130",31.04,19.3791091593236
"131",31.05,19.3599664970601
"132",31.06,19.4086444187293
