"","sample","mean.relief","sd.relief","reef","sand"
"1",1.01,0.421052631578947,0.507257273501788,0,100
"2",1.02,0.88,0.33166247903554,0,100
"3",1.03,1,0,0,100
"4",1.04,0.44,0.506622805119022,0,100
"5",1.05,1,0,0,100
"6",1.06,0.44,0.506622805119022,0,100
"7",10.01,3.35294117647059,1.57407698670405,64.7,35.29
"8",10.02,2.25,1.04726987617729,40.62,59.38
"9",10.03,3.23333333333333,1.63334506212068,73.33,26.67
"10",10.04,3.24,1.16476034731041,44,56
"11",10.07,3,1.02353263143832,50.01,50
"12",10.08,1.5,0.511766315719159,18.19,81.82
"13",10.09,0.904761904761905,0.436435780471985,9.52,90.48
"14",10.11,1.15789473684211,0.374634324632678,0,100
"15",10.12,1.7,0.864504725870618,15,85
"16",10.13,2.51428571428571,0.853071563490998,57.15,42.86
"17",10.14,1.19230769230769,0.49146562599887,26.92,73.08
"18",10.15,2.19230769230769,1.05902712974619,53.84,46.15
"19",11.01,0.96,0.2,0,100
"20",11.02,1.91666666666667,1.0179547554081,16.67,83.33
"21",11.03,1.2,0.615587011251092,0,100
"22",11.04,0.96,0.2,0,100
"23",11.05,0.590909090909091,0.503236279740196,0,100
"24",11.06,1.04545454545455,0.722249971716872,9.1,90.91
"25",12.02,2.33333333333333,1.27097781860449,29.63,70.37
"26",12.03,1,0,0,100
"27",12.04,0.6,0.5,0,100
"28",12.05,0.76,0.522812904711937,0,100
"29",12.06,1,0,0,100
"30",12.11,2.09090909090909,1.01929438287525,18.19,81.82
"31",13.02,0.423076923076923,0.503831473655779,0,100
"32",13.03,1.5,0.511766315719159,0,100
"33",13.04,1.08,0.276887462097269,0,100
"34",13.05,0.80952380952381,0.402373908081478,0,100
"35",13.06,1,0,0,100
"36",13.08,1,0,0,100
"37",14.01,0.88,0.781024967590666,20,80
"38",14.02,1.15,1.08942283125661,0,100
"39",14.03,1,0.308606699924184,9.09,90.91
"40",14.06,0.739130434782609,0.44897775854488,0,100
"41",14.11,0.84,0.62449979983984,0,100
"42",14.12,0.6,0.5,0,100
"43",14.13,1,0,0,100
"44",15.01,1,0,0,100
"45",15.02,0.909090909090909,0.29424494316825,4.55,95.45
"46",15.05,1.11538461538462,0.325812593608421,7.69,92.31
"47",15.07,1.3,0.470162345981627,0,100
"48",15.12,1.86666666666667,0.351865775274498,26.67,73.33
"49",16.01,0.7,0.470162345981627,0,100
"50",16.02,3.81818181818182,0.501081082343218,81.82,18.18
"51",16.03,1,0,0,100
"52",16.04,1,0,0,100
"53",16.05,1.84615384615385,0.612686392361227,7.69,92.31
"54",17.08,0.590909090909091,0.590326052690247,0,100
"55",18.01,0.583333333333333,0.503610155185335,0,100
"56",18.02,0.555555555555556,0.506369683541833,0,100
"57",18.03,2,0.748331477354788,26.92,73.08
"58",18.04,2.38461538461538,0.85214661071546,65.39,34.62
"59",18.07,1.1304347826087,1.0137396037394,0,100
"60",18.08,0.5,0.512989176042577,0,100
"61",19.01,1,0,0,100
"62",19.02,1.4,0.502624689950035,0,100
"63",19.03,0.909090909090909,0.29424494316825,0,100
"64",19.04,1.08695652173913,0.51460871969619,0,100
"65",19.05,0,0,0,100
"66",19.08,1,0,0,100
"67",2.02,0.904761904761905,0.300792603759119,0,100
"68",2.03,1,0,0,100
"69",2.04,0.769230769230769,0.42966892442366,0,100
"70",2.05,1,0,0,100
"71",2.06,0.961538461538462,0.196116135138184,0,100
"72",2.07,1.15384615384615,0.784464540552736,0,100
"73",23.01,1.66666666666667,0.617213399848368,0,100
"74",23.02,1,0,0,100
"75",23.03,0.666666666666667,0.487950036474267,0,100
"76",23.04,1,0,0,100
"77",23.06,0.5,0.512989176042577,0,100
"78",23.09,0.304347826086957,0.470471968896965,13.05,86.96
"79",3.01,1,0,0,100
"80",3.02,1,0,0,100
"81",3.03,0.884615384615385,0.431455497304005,0,100
"82",3.04,0.95,0.510417785534041,0,100
"83",3.05,1.27272727272727,0.827032456426399,13.64,86.36
"84",3.06,0.347826086956522,0.831684798913075,0,100
"85",30.01,0.333333333333333,0.658280588604383,9.52,90.48
"86",30.02,0,0,0,100
"87",30.03,0.0526315789473684,0.229415733870562,0,100
"88",30.04,1,0.978019293843651,20.84,79.17
"89",30.05,1.42857142857143,0.790151013628803,25,75
"90",30.06,2,1.11269728052837,36.37,63.64
"91",31.01,1.54166666666667,0.931532942621143,16.67,83.33
"92",31.02,0.571428571428571,0.50709255283711,4.76,95.24
"93",31.03,1.26086956521739,0.44897775854488,34.79,65.22
"94",31.04,0.730769230769231,0.533493565673837,25.93,74.07
"95",31.05,0.55,0.51041778553404,20,80
"96",31.06,0.52,0.585946527708232,8,92
"97",4.01,2.27777777777778,1.36362646064933,50,50
"98",4.02,1.80769230769231,1.16684980247608,34.62,65.38
"99",4.03,2.59090909090909,1.50108186094122,40.91,59.09
"100",4.08,2.17391304347826,1.02921743939238,47.83,52.17
"101",4.11,2.39130434782609,0.94094393779393,47.83,52.17
"102",4.12,1.5,1.10453610171873,30.77,69.23
"103",5.02,1,0,0,100
"104",5.03,1,0,0,100
"105",5.07,1,0,0,100
"106",5.08,0.92,0.276887462097269,0,100
"107",5.11,1,0,0,100
"108",5.13,1,0,0,100
"109",6.01,0.142857142857143,0.358568582800318,0,100
"110",6.02,0.96,0.2,0,100
"111",6.03,2.53333333333333,1.43198279062413,50,50
"112",6.04,0.48,0.509901951359279,0,100
"113",6.05,0.76,0.435889894354067,0,100
"114",6.12,1,0,0,100
"115",7.01,1,0,0,100
"116",7.02,1,0,0,100
"117",7.03,1,0,0,100
"118",7.04,1,0,3.85,96.15
"119",7.05,1,0,13.04,86.96
"120",7.08,0.95,0.223606797749979,0,100
"121",8.01,1.07407407407407,0.549540082245419,11.11,88.89
"122",8.02,3.89285714285714,1.34272486120949,78.57,21.43
"123",8.05,0.952380952380952,0.218217890235992,0,100
"124",8.06,1.04545454545455,0.21320071635561,4.55,95.45
"125",8.07,1,0,0,100
"126",8.12,1.6,1.08012344973464,28,72
"127",9.01,2.16,0.943398113205661,52,48
"128",9.02,1.61904761904762,0.740012869900955,33.33,66.67
"129",9.05,1.04,0.2,4,96
"130",9.06,2.21739130434783,0.795242772487544,47.83,52.17
"131",9.07,2.8,0.763762615825973,60,40
"132",9.08,0.708333333333333,0.550032937090187,20.84,79.17
